#Item	Label	Description	Site on enwiki
Q2001245	Bolton-on-Dearne railway station		Bolton-on-Dearne railway station
Q2012147	Thurnscoe railway station		Thurnscoe railway station
Q2025773	Rotherham Central railway station		Rotherham Central railway station
Q2060574	Kirk Sandall railway station		Kirk Sandall railway station
Q2113263	Hatfield and Stainforth railway station		Hatfield and Stainforth railway station
Q2253025	Swinton railway station		Swinton (South Yorkshire) railway station
Q2323319	Kiveton Park railway station		Kiveton Park railway station
Q2325641	Adwick railway station		Adwick railway station
Q2347117	Bentley railway station		Bentley (South Yorkshire) railway station
Q2358910	Shireoaks railway station		Shireoaks railway station
Q2386115	Moorthorpe railway station		Moorthorpe railway station
Q2431458	South Elmsall railway station		South Elmsall railway station
Q2467647	Meadowhall Interchange		Meadowhall Interchange
Q2497249	Woodhouse railway station		Woodhouse railway station
Q2537483	Goldthorpe railway station		Goldthorpe railway station
Q2565782	Doncaster railway station		Doncaster railway station
Q2701036	Wombwell railway station		Wombwell railway station
Q2958045	Worksop railway station		Worksop railway station
Q3069257	Thorne North railway station		Thorne North railway station
Q3287228	Elsecar railway station		Elsecar railway station
Q3448631	Kiveton Bridge railway station		Kiveton Bridge railway station
Q3983146	Mexborough railway station		Mexborough railway station
Q4770783	Anston railway station		Anston railway station
Q4792043	Arksey railway station		Arksey railway station
Q4807178	Askern railway station		Askern railway station
Q4861465	Barnby Dun railway station		Barnby Dun railway station
Q4873799	Bawtry railway station		Bawtry railway station
Q4881068	Beighton railway station		Beighton railway station
Q4890466	Bentley Crossing Halt		Bentley Crossing Halt
Q4896378	Bessacarr railway halt		Bessacarr Halt railway station
Q4956289	Bramwith (WR&G) railway station		Bramwith (WR&G) railway station
Q4956290	Bramwith railway station		Bramwith railway station
Q4967796	Brightside railway station		Brightside railway station
Q4975834	Broughton Lane railway station		Broughton Lane railway station
Q5051770	Catcliffe railway station		Catcliffe railway station
Q5161108	Conisbrough railway station		Conisbrough railway station
Q5222578	Darfield railway station		Darfield railway station
Q5256552	Denaby Halt railway station		Denaby Halt railway station
Q5256555	Denaby and Conisbrough railway station		Denaby and Conisbrough railway station
Q5278450	Dinnington and Laughton railway station		Dinnington and Laughton railway station
Q5295480	Doncaster (St. James' Bridge) railway station		Doncaster (St. James' Bridge) railway station
Q5295481	Doncaster (Cherry Tree Lane) railway station		Doncaster (Cherry Tree Lane) railway station
Q5295482	Doncaster (York Road) railway station		Doncaster (York Road) railway station
Q5325859	Earl Fitzwilliam's private railway station		Earl Fitzwilliam's private railway station
Q5338789	Edlington railway station		Edlington railway station
Q5367515	Elsecar goods station		Elsecar goods station
Q5450740	Finningley railway station		Finningley railway station
Q5503407	Frickley railway station		Frickley railway station
Q5580370	Goldthorpe and Thurnscoe Halt railway station		Goldthorpe and Thurnscoe Halt railway station
Q5595665	Grange Lane railway station		Grange Lane (Sheffield) railway station
Q5599336	Great Houghton Halt railway station		Great Houghton Halt railway station
Q5646021	Hampole railway station		Hampole railway station
Q5658899	Harlington Halt railway station		Harlington Halt railway station
Q5685708	Haxey Junction railway station		Haxey Junction railway station
Q5685713	Haxey and Epworth railway station		Haxey and Epworth railway station
Q5751048	Hickleton and Thurnscoe Halt		Hickleton and Thurnscoe Halt railway station
Q5883649	Holmes railway station		Holmes railway station
Q6204977	Joan Croft Halt railway station		Joan Croft Halt railway station
Q6408087	Kilnhurst Central railway station		Kilnhurst Central railway station
Q6408091	Kilnhurst West railway station		Kilnhurst West railway station
Q6415525	Kirk Smeaton railway station		Kirk Smeaton railway station
Q6744763	Maltby railway station		Maltby railway station
Q6803364	Meadowhall (Tivoli Gardens) railway station		Meadowhall (Tivoli Gardens) railway station
Q6825711	Mexborough (Ferry Boat) Halt railway station		Mexborough (Ferry Boat) Halt railway station
Q6825713	Mexborough Junction railway station		Mexborough Junction railway station
Q7060573	Norton (South Yorkshire) railway station		Norton (South Yorkshire) railway station
Q7102148	Orgreave Colliery platform		Orgreave Colliery platform
Q7137713	Park Drain railway station		Park Drain railway station
Q7138475	Parkgate and Aldwarke railway station		Parkgate and Aldwarke railway station
Q7138476	Parkgate and Rawmarsh railway station		Parkgate and Rawmarsh railway station
Q7190768	Pickburn and Brodsworth railway station		Pickburn and Brodsworth railway station
Q7355379	Rockingham (South Yorkshire) railway station		Rockingham (South Yorkshire) railway station
Q7369846	Rossington railway station		Rossington railway station
Q7370435	Rotherham Masborough railway station	main railway station for Rotherham, South Yorkshire, England from the 1840s until 1987, when most trains were rerouted via Rotherham Central	Rotherham Masborough railway station
Q7370440	Rotherham Road railway station		Rotherham Road railway station
Q7370443	Rotherham Westgate railway station		Rotherham Westgate railway station
Q7439287	Scrooby railway station		Scrooby railway station
Q7516885	Silverwood Colliery platform		Silverwood Colliery platform
Q7577197	Spike Island		Spike Island (Doncaster)
Q7581344	Sprotborough (H&B) railway station		Sprotborough (H&B) railway station
Q7581345	Sprotborough (SYR) railway station		Sprotborough (SYR) railway station
Q7597045	Stainforth railway station		Stainforth railway station
Q7653125	Swallownest railway station		Swallownest railway station
Q7658780	Swinton Central railway station		Swinton Central railway station
Q7658791	Swinton Town railway station		Swinton Town railway station
Q7660504	Sykehouse railway station		Sykehouse railway station
Q7796375	Thorne (Old) railway station		Thorne (Old) railway station
Q7796381	Thorne South railway station		Thorne South railway station
Q7796383	Thorne Waterside railway station		Thorne Waterside railway station
Q7796675	Thorpe-in-Balne railway station		Thorpe-in-Balne railway station
Q7798617	Thrybergh Tins railway station		Thrybergh Tins railway station
Q7800689	Tickhill and Wadworth railway station		Tickhill and Wadworth railway station
Q7808474	Tinsley railway station		Tinsley railway station
Q7837741	Treeton railway station		Treeton railway station
Q7961846	Waleswood railway station		Waleswood railway station
Q7969650	Warmsworth railway station		Warmsworth railway station
Q7974640	Wath (Hull and Barnsley) railway station		Wath (Hull and Barnsley) railway station
Q7974644	Wath Central railway station		Wath Central railway station
Q7974648	Wath North railway station		Wath North railway station
Q7986674	West Tinsley railway station		West Tinsley railway station
Q8023891	Wincobank railway station		Wincobank railway station
Q8030800	Wombwell Central railway station		Wombwell Central railway station
Q8032755	Woodhouse Mill railway station		Woodhouse Mill railway station
Q15206626	C F Booth		C F Booth
Q15223809	Hexthorpe railway platform		Hexthorpe railway platform
Q15252582	Meadow Hall and Wincobank railway station		Meadow Hall and Wincobank railway station
Q15255986	Moorhouse and South Elmsall Halt		Moorhouse and South Elmsall Halt railway station
